Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
94840,Datapreneurship - Innovating on Analytics,6,A3,Y,M,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1005,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94842,Programming R for Analytics,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH A301,"Simko, Michael",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94843,Research Seminar in Arts Management and Technology,6,A,,R,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1208,"Crawford, Brett",5.446842105263158,4.6421052631578945,4.536315789473685,4.4673684210526305,4.497368421052631,4.603157894736842,4.557894736842106,4.802105263157894,4.514736842105262,4.448421052631579
94848,Transforming Cities: Smart Cities and Technology,3,A4,Y,F,05:00PM,08:20PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94848,Transforming Cities: Smart Cities and Technology,3,A4,Y,S,08:30AM,06:20PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94848,Transforming Cities: Smart Cities and Technology,3,A4,Y,U,08:30AM,01:50PM,"Pittsburgh, Pennsylvania",TBA,"Mozisek, Korryn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94854,Developing as a Leader,6,A4,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 2003,"Lassman, David",6.289473684210526,4.903157894736842,4.623684210526316,4.619999999999999,4.678947368421052,4.792105263157894,4.645789473684211,4.868947368421053,4.796842105263159,4.772105263157894
94855,Innovation Management in Practice,6,A,,M,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Williams, Jimmy",3.625,2.5416666666666665,1.625,2.5416666666666665,1.625,3.4583333333333335,2.5416666666666665,2.0833333333333335,1.625,1.625
94856,Managerial and Engineering Economics,12,A,,MW,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",SH  125,"O'Connor, Jason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94857,The Strategy and Management of Technological Innovation,12,A,,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Armanios, Daniel",10.33,5.0,4.670000000000001,4.670000000000001,5.0,5.0,5.0,5.0,5.0,4.670000000000001
